"Time","CPU promedio (%)","Ancho Banda Entrante (bytes/s)","Ancho Banda Saliente (bytes/s)","Disco Usado (%)"
2025-12-15 16:11:00,0.00115,7.91,149,20.5
2025-12-15 16:11:15,0.00173,12.2,226,20.5
2025-12-15 16:11:30,0.00350,30.8,321,20.5
2025-12-15 16:11:45,0.00346,36.4,400,20.5
2025-12-15 16:12:00,0.00533,52.4,489,20.5
2025-12-15 16:12:15,0.00602,55.6,565,20.5
2025-12-15 16:12:30,0.00604,58.9,642,20.5
2025-12-15 16:12:45,0.00662,64.7,722,20.5
2025-12-15 16:13:00,0.00680,68.0,798,20.5
2025-12-15 16:13:15,0.00726,71.6,875,20.5
2025-12-15 16:13:30,0.00874,86.5,963,20.5
2025-12-15 16:13:45,0.00881,90.5,1040,20.5
2025-12-15 16:14:00,0.0102,107,1131,20.5
2025-12-15 16:14:15,0.0106,111,1208,20.5
2025-12-15 16:14:30,0.0108,115,1285,20.5
2025-12-15 16:14:45,0.0112,118,1363,20.5
2025-12-15 16:15:00,0.0117,124,1442,20.5
2025-12-15 16:15:15,0.0121,128,1519,20.5
2025-12-15 16:15:30,0.0135,143,1615,20.5
2025-12-15 16:15:45,0.0131,143,1613,20.4
2025-12-15 16:16:00,0.0139,156,1627,20.4
2025-12-15 16:16:15,0.0129,143,1613,20.4
2025-12-15 16:16:30,0.0130,141,1610,20.4
2025-12-15 16:16:45,0.0116,130,1599,20.4
2025-12-15 16:17:00,0.0112,131,1600,20.4
2025-12-15 16:17:15,0.0115,132,1600,20.4
2025-12-15 16:17:30,0.0123,141,1610,20.4
2025-12-15 16:17:45,0.0124,141,1610,20.4
2025-12-15 16:18:00,0.0138,152,1623,20.4
2025-12-15 16:18:15,0.0129,143,1614,20.4
2025-12-15 16:18:30,0.0133,143,1614,20.4
2025-12-15 16:18:45,0.0122,130,1601,20.4
2025-12-15 16:19:00,0.0119,130,1600,20.4
2025-12-15 16:19:15,0.0124,133,1602,20.4
2025-12-15 16:19:30,0.0132,144,1614,20.4
2025-12-15 16:19:45,0.0129,142,1611,20.4
2025-12-15 16:20:00,0.0142,153,1623,20.4
2025-12-15 16:20:15,0.0132,143,1614,20.4
2025-12-15 16:20:30,0.0137,143,1614,20.4
2025-12-15 16:20:45,0.0130,130,1600,20.4
2025-12-15 16:21:00,0.0129,130,1600,20.4
2025-12-15 16:21:15,0.0142,142,1611,20.4
2025-12-15 16:21:30,0.0140,144,1614,20.4
2025-12-15 16:21:45,0.0144,143,1613,20.4
2025-12-15 16:22:00,0.0154,153,1624,20.4
2025-12-15 16:22:15,0.0144,142,1611,20.4
2025-12-15 16:22:30,0.0155,155,1627,20.4
2025-12-15 16:22:45,0.0144,145,1616,20.4
2025-12-15 16:23:00,0.0140,143,1613,20.4
